Rank (PTS),Image URL,ESPN URL,Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO
33,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2084.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5101672/daniel-freitag,Daniel Freitag,BUF,G,22,33.8,20,5.5,12.8,42.6,2.4,6.2,38.2,6.7,8.2,81.8,4.5,3.9,1.2,0.4,1.9
34,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2181.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105965/jalen-quinn,Jalen Quinn,DRKE,G,29,33.2,19.9,6.9,14.9,46.6,1.4,3.8,36.7,4.7,6.2,75.4,4.3,3.1,1.2,0.1,2.7
34,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2900.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5241415/nolan-minessale,Nolan Minessale,STMN,G,29,30.5,19.9,6.7,13.3,50.4,1.3,4.3,29.4,5.2,6.9,75,4.2,4.3,1.6,0.5,2.2
36,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2439.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4711259/dra-gibbs-lawhorn,Dra Gibbs-Lawhorn,UNLV,G,27,33.3,19.9,7.1,14.1,50.5,2.6,6.4,40.7,3.1,3.7,83.8,3,2.7,1.5,0.4,2.3
37,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4703396/graham-ike,Graham Ike,GONZ,F,25,30,19.9,7.6,13.4,56.7,0.7,2.1,32.1,4,5.2,77.5,8.4,2.6,0.6,0.8,1.5
38,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5095151/caleb-wilson,Caleb Wilson,UNC,F,24,31.3,19.8,7.1,12.3,57.8,0.3,1.1,25.9,5.4,7.5,71.3,9.4,2.7,1.5,1.4,2
39,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2097.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897215/dj-smith,DJ Smith,CAM,G,28,34.4,19.8,5.7,14.9,38.2,3,9.1,33.5,5.4,6.5,83.4,3.8,2.3,1.6,0.1,2.1
40,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2504.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4703215/taireon-joseph,Tai'Reon Joseph,PV,G,24,31.9,19.8,6.8,16.3,41.8,2.5,7.8,31.7,3.6,4.8,76.3,2.5,0.9,1.3,0,1.9
41,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2382.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174594/baraka-okojie,Baraka Okojie,MER,G,28,33.9,19.6,5.6,13,42.7,1.3,4,32.4,7.2,8.7,82.7,3.2,5.4,1.3,0.1,2.7
42,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2619.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105560/erik-pratt,Erik Pratt,STBK,G,27,34.3,19.6,7,16.6,42.3,1.9,6,31.1,3.7,5,74.8,4.8,3.6,1.1,0.3,2.7
43,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107970/cade-tyson,Cade Tyson,MINN,G,26,36.2,19.5,5.7,11.7,48.9,2.2,5.3,40.9,5.9,7.3,81.1,5.7,2.4,0.8,0.1,1.7
44,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5105798/malik-reneau,Malik Reneau,MIA,F,27,28.3,19.5,7.3,12.8,56.8,0.8,2.1,36.2,4.2,5.4,78.1,6.4,2.1,0.9,0.8,2.7
45,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/149.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177694/money-williams,Money Williams,MONT,G,28,31.1,19.4,6.3,12.9,48.8,1.3,3.9,32.4,5.6,6.6,84.9,4.2,5.1,1,0.3,4
46,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2504.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176727/dontae-horne,Dontae Horne,PV,G,28,30,19.4,6.2,13.6,45.5,1.2,3.8,31.4,5.9,7.2,81.6,4.1,2.8,2.1,0.1,2.5
47,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/23.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176315/colby-garland,Colby Garland,SJSU,G,23,34.3,19.4,7.1,14.4,49.2,1.2,3.1,39.4,4,4.7,85.2,3.2,4.5,1.1,0,2.1
48,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2110.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4897018/camren-hunter,Camren Hunter,CARK,G,29,30.7,19.3,7.1,14.4,49.6,2,5.9,34.7,3,4.1,74.6,4,2.6,1.4,0.2,1.7
49,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2502.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5175976/terri-miller-jr,Terri Miller Jr.,PRST,F,25,32,19.2,7.2,14.1,51.4,1.8,4.4,40,3,4.4,68.2,5.8,3.5,1.5,0.6,2.9
50,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5243278/kahmare-holmes,Kahmare Holmes,WOF,G,23,31.2,19.2,6.4,13.3,48.2,1.6,4.6,34,4.8,7,68.9,5.8,2.7,2.1,0.3,2
51,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2448.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5239649/lewis-walker,Lewis Walker,NCAT,F,25,34.3,19.2,5.8,11.4,51.4,1,2.8,37.1,6.4,7.4,86.6,5.3,1.8,0.8,0.1,1.9
52,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5060701/christian-anderson,Christian Anderson,TTU,G,26,38.7,19.1,6.3,13,48.5,3.5,7.9,44.2,3,3.8,78,3.6,7.7,1.3,0.3,3.2
53,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2724.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107508/kenyon-giles,Kenyon Giles,WICH,G,28,35.8,19.1,6.9,16.1,42.9,3.3,8.6,38.4,2,2.4,84.8,2.5,1.6,1.7,0,1.3
54,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5240082/mostapha-el-moutaouakkil,Mostapha El Moutaouakkil,JXST,G,27,29.4,19,6.3,13.6,46.3,1.1,3.4,31.2,5.4,8.3,64.4,7,1.4,0.8,0.3,2.8
55,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2515.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4848630/dennis-parker-jr,Dennis Parker Jr.,RAD,G,29,29.5,19,6.4,12.9,49.6,2,5.1,39.9,4.2,6.3,66.3,6.1,1.3,1.4,0.6,2.3
55,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2127.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106775/alahn-sumler,A'lahn Sumler,CHSO,G,25,30.4,19,6.9,14,49,2.1,5.2,39.7,3.2,4.8,65.8,4.6,3.8,0.8,0.2,2.4
55,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2608.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5174955/paulius-murauskas,Paulius Murauskas,SMC,F,29,32.3,19,6.3,12.9,49.2,1.1,3.2,34,5.2,6.3,82.5,7.6,2.3,0.7,0.6,1.8
58,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2737.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4682856/logan-duncomb,Logan Duncomb,WIN,C,28,25.7,19,6.4,10.8,59.5,0,0.1,0,6.2,8.5,72.4,9.3,1.6,0.8,0.8,2
59,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/6.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5189001/chaze-harris,Chaze Harris,USA,G,29,31.4,18.9,7.2,13.1,55,0.1,0.8,13.6,4.4,7.6,58.4,4.5,4.9,1.6,0.3,3.1
60,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2655.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106280/rowan-brumbaugh,Rowan Brumbaugh,TULN,G,27,36.2,18.9,5.4,12.3,44.1,1.8,5.2,34.8,6.2,7.7,81.2,5,3.6,1.7,0.2,2.3
61,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/189.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5242560/javontae-campbell,Javontae Campbell,BGSU,G,28,34.3,18.8,6.5,12.9,50.6,0.7,2.1,33.3,5.1,6.6,77.3,4.7,5,3.2,0.3,2.8
62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/85.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313212/kyler-daugustino,Kyler D'Augustino,IUIN,G,27,32.3,18.8,7.6,14.2,53.1,1.4,3.7,38,2.3,2.9,79.5,3.1,3.5,1.4,0.1,1.9
63,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2309.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5108093/delrecco-gillespie,Delrecco Gillespie,KENT,F,27,32.8,18.8,6.7,12.3,54.5,0.6,2,29.1,4.8,6.1,78.7,11.7,1.7,0.9,1.5,3.1
64,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/16.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5177722/prophet-johnson,Prophet Johnson,SAC,G,26,35.3,18.8,6.6,13.6,48.4,1.7,4.1,40.2,4,5.3,74.1,7.6,3.8,2.8,0.3,2.4
65,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2572.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5313270/tylik-weeks,Tylik Weeks,USM,F,28,32.6,18.8,6.2,13.3,46.9,0.2,1.3,13.5,6.1,7.6,81.1,5.9,2,1,0.3,2.9
66,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4898283/boopie-miller,Boopie Miller,SMU,G,26,34.5,18.7,5.7,12.2,47.2,1.8,4.4,40.9,5.5,6.3,87.1,3.6,6.9,1.7,0.1,2.5
67,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5113969/cameron-carr,Cameron Carr,BAY,G,27,33.3,18.7,6.3,12.5,50.6,2.1,5.6,38,3.9,5,78.4,5.7,2.7,0.9,1.4,2.4
68,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2752.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4684289/tre-carroll,Tre Carroll,XAV,F,27,32.5,18.6,7.4,14.5,50.9,1.6,4.4,35.8,2.3,3.4,68.1,5.9,2.7,0.8,1.3,2.5
69,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5103630/john-blackwell,John Blackwell,WIS,G,26,33.1,18.5,5.4,13.2,40.7,2.6,6.9,37.2,5.2,6.1,85.4,4.9,2.4,1.3,0.1,1.7
70,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2678.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107076/tj-johnson,TJ Johnson,VMI,F,28,35.1,18.5,5.4,13.7,39.7,3.5,9.9,35.6,4.1,4.9,84.1,7.2,1.5,1.5,0.2,1.6
71,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5187600/tyler-tanner,Tyler Tanner,VAN,G,27,32.1,18.5,6.1,12.9,47.4,1.7,4.6,37.4,4.6,5.3,86.1,3.4,5.2,2.4,0.4,2
72,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/94.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5107298/donovan-oday,Donovan Oday,NKU,G,29,28.8,18.5,6,12.3,48.3,1.6,5.2,29.6,5,6.2,81,3.9,2,2.1,0.4,1.9
73,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2458.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5176300/quinn-denker,Quinn Denker,UNCO,G,26,34,18.4,6.6,13.5,48.7,1.5,4.4,33,3.8,4.7,80.5,5.2,7.2,0.8,0.3,2.5
74,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/172.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/5106247/cooper-noard,Cooper Noard,COR,G,24,27.2,18.4,6.3,12.2,51.2,2.8,7.2,38.7,3.1,3.5,89.3,3.3,1.9,0.5,0.3,1.5
75,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&scale=crop&cquality=40&location=origin&w=40&h=40,https://www.espn.com/mens-college-basketball/player/_/id/4700877/chad-baker-mazara,Chad Baker-Mazara,USC,G,24,29.9,18.4,5.8,13,44.1,2.3,6,37.2,4.6,5.1,91,4.2,2.9,0.8,1.2,2.3
