Name,College,Position,GP,MIN,PTS,FGM,FGA,FGPct,3PM,3PA,3PPct,FTM,FTA,FTPct,REB,AST,STL,BLK,TO,TS_pct,PPM,AST_TO,3PA_rate,FTA_rate,Archetype_k2,Archetype,Efficiency_Score,PPG_Rank,Eff_Rank,Rank_Delta
Bennett Stirtz,IOWA,G,27,36.9,20.6,7.0,13.8,50.9,2.5,6.3,39.4,4.1,4.9,84.0,2.4,4.5,1.4,0.3,2.0,0.6455251942842818,0.5582655826558266,2.25,0.45652173913043476,0.35507246376811596,Perimeter Snipers,Versatile Playmakers,0.7621543657061782,20,51,-31
Jack Karasinski,BELL,F,26,29.4,20.6,6.7,12.1,55.2,2.3,5.5,42.3,4.9,6.1,80.4,4.8,1.2,0.6,0.2,1.4,0.6966991341991343,0.7006802721088436,0.8571428571428572,0.4545454545454546,0.5041322314049587,Paint Bruisers,Versatile Playmakers,1.2468123147628682,20,10,10
Keyshawn Hall,AUB,F,25,33.4,20.6,5.7,12.8,44.4,1.9,4.8,40.3,7.3,8.5,85.4,7.0,2.8,0.9,0.7,2.4,0.6227327690447401,0.6167664670658684,1.1666666666666667,0.37499999999999994,0.6640625,Perimeter Snipers,Versatile Playmakers,0.9493422867112555,20,29,-9
Nick Boyd,WIS,G,27,31.1,20.6,7.0,14.6,48.0,1.7,4.8,36.2,4.8,5.9,81.3,3.6,3.8,0.9,0.0,1.7,0.5989765061642244,0.662379421221865,2.235294117647059,0.3287671232876712,0.40410958904109595,Perimeter Snipers,Versatile Playmakers,0.9720314226875773,20,27,-7
Nasir Whitlock,LEH,G,29,34.7,20.6,6.8,14.5,46.9,2.2,5.2,42.4,4.8,5.9,80.7,3.6,3.0,1.0,0.0,2.7,0.6024801123069724,0.5936599423631124,1.111111111111111,0.3586206896551724,0.40689655172413797,Perimeter Snipers,Versatile Playmakers,0.27953000156031477,20,155,-135
Corey Hadnot II,PFW,G,29,32.9,20.6,7.8,14.6,53.1,1.9,5.0,37.0,3.2,4.6,68.7,4.0,3.4,1.8,0.4,2.0,0.6195861405197306,0.6261398176291794,1.7,0.3424657534246575,0.3150684931506849,Paint Bruisers,Versatile Playmakers,0.572672333592918,20,84,-64
Tavari Johnson,AKR,G,27,31.7,20.5,7.6,14.6,52.0,2.3,6.2,36.5,3.1,3.4,89.2,2.9,5.2,1.3,0.3,2.2,0.6368041749502982,0.6466876971608833,2.3636363636363633,0.4246575342465754,0.2328767123287671,Perimeter Snipers,Perimeter Snipers,0.8705990174125116,24,40,-16
Kamrin Oriol,UNF,G,29,35.4,20.5,7.0,14.6,48.1,3.1,7.6,41.4,3.3,3.7,89.8,3.1,4.3,0.8,0.1,3.2,0.6316243529701749,0.5790960451977402,1.3437499999999998,0.5205479452054794,0.2534246575342466,Perimeter Snipers,Perimeter Snipers,0.20968256721939907,24,173,-149
Bruce Thornton,OSU,G,27,36.3,20.4,7.2,13.2,54.6,1.8,4.7,38.6,4.1,5.0,82.2,5.4,3.9,1.3,0.3,1.3,0.6623376623376623,0.5619834710743802,3.0,0.3560606060606061,0.3787878787878788,Perimeter Snipers,Versatile Playmakers,1.2184375814380528,26,11,15
Shelton Williams-Dryden,WGA,F,28,34.9,20.3,7.9,16.2,48.5,0.5,2.1,25.4,4.1,5.6,72.2,9.2,1.4,1.0,0.2,1.9,0.543827689669953,0.5816618911174786,0.7368421052631579,0.12962962962962965,0.345679012345679,Paint Bruisers,Shot Creators,-0.34390632537886834,27,348,-321
